Hostname,Datetime,IP,Name,Description,PID,VID,SN
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT224949RK
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT224643VN
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,NIM subslot 0/1,NIM-1MFT-T1/E1 - T1/E1 Serial Module,NIM-1MFT-T1/E1,V01,FOC1734896R
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,subslot 0/1 db module 0,PVDM4-64 Voice DSP Module,PVDM4-64,V01,FTA17500041
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V01,FTA17500044
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V05,FOC19323HF6
BERLOVR001,1/9/2024 11:07:11 PM,10.142.51.252,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V04,FCZ2229401G
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT22133LT7
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,NIM subslot 0/1,NIM-1MFT-T1/E1 - T1/E1 Serial Module,NIM-1MFT-T1/E1,V01,FOC1734896G
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,subslot 0/1 db module 0,PVDM4-64 Voice DSP Module,PVDM4-64,V01,FTA17500037
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC22246AHG
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V04,FOC2225808J
BERLOVR002,1/9/2024 11:07:24 PM,10.142.51.12,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,c93xx Stack,c93xx Stack,C9300-48UXM,V02,FCW2311L117
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 1,C9300-48UXM,C9300-48UXM,V02,FCW2311L117
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOG2707A3JA
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOG2707A5X1
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2228FHJS
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2228FHKH
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC23154S93
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Twe1/1/1,SFP-10GBase-LR,SFP-10G-LR,V02,F2020619294
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Twe1/1/2,SFP-10GBase-LR,SFP-10G-LR,V02,F2020619293
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2713Y233
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOG2707A5X1
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOG2707A3JA
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712CQEL
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712CQCZ
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FVH2713053R
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 1,Cisco C9800-L-F-K9 Chassis,C9800-L-F-K9,01,FCL263900ED
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 1 Fan Tray,Cisco C9800-L-F-K9 Fan Tray,C9800-L-F-K9-FAN,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,module 0,Cisco C9800-L-F-K9 Modular Interface Processor,C9800-L-F-K9,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-F,V01,N/A
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,module R0,Cisco C9800-L-F-K9 Route Processor,C9800-L-F-K9,01,FCL263900ED
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,module F0,Cisco C9800-L-F-K9 Embedded Services Processor,C9800-L-F-K9,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 2,Cisco C9800-L-F-K9 Chassis,C9800-L-F-K9,01,FCL263900UY
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 2 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 2 Fan Tray,Cisco C9800-L-F-K9 Fan Tray,C9800-L-F-K9-FAN,", SN:",
